CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
02.800.026/0001-40;2024-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.01.08.03.05;Partes relacionadas;0.0000000000;N
02.800.026/0001-40;2024-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02;Ativo Não Circulante;20151540.0000000000;S
02.800.026/0001-40;2024-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.02;Ativo Não Circulante;19573034.0000000000;S
02.800.026/0001-40;2024-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.01;Ativo Realizável a Longo Prazo;1338489.0000000000;S
02.800.026/0001-40;2024-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.02.01;Ativo Realizável a Longo Prazo;1096485.0000000000;S
02.800.026/0001-40;2024-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.01.01;Aplicações Financeiras Avaliadas a Valor Justo através do Resultado;0.0000000000;S
02.800.026/0001-40;2024-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.02.01.01;Aplicações Financeiras Avaliadas a Valor Justo através do Resultado;0.0000000000;S
02.800.026/0001-40;2024-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.01.01.01;Títulos Designados a Valor Justo;0.0000000000;S
02.800.026/0001-40;2024-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.02.01.01.01;Títulos Designados a Valor Justo;0.0000000000;S
02.800.026/0001-40;2024-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.01.02;Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes;0.0000000000;S
02.800.026/0001-40;2024-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.02.01.02;Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes;0.0000000000;S
02.800.026/0001-40;2024-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.01.03;Aplicações Financeiras Avaliadas ao Custo Amortizado;46040.0000000000;S
02.800.026/0001-40;2024-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.02.01.03;Aplicações Financeiras Avaliadas ao Custo Amortizado;38929.0000000000;S
02.800.026/0001-40;2024-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.01.04;Contas a Receber;125322.0000000000;S
02.800.026/0001-40;2024-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.02.01.04;Contas a Receber;92690.0000000000;S
02.800.026/0001-40;2024-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.01.04.01;Clientes;0.0000000000;N
02.800.026/0001-40;2024-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.02.01.04.01;Clientes;0.0000000000;N
02.800.026/0001-40;2024-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.01.04.02;Outras Contas a Receber;0.0000000000;N
02.800.026/0001-40;2024-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2024-12-31;1.02.01.04.02;Outras Contas a Receber;0.0000000000;N
02.800.026/0001-40;2024-12-31;1;COGNA EDUCAÇÃO S.A.;017973;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2023-12-31;1.02.01.05;Estoques;0.0000000000;S
